kodepemda,namapemda,idperiode,kodebidang,uraibidang,kodeprogram,uraiprogram,kodekegiatan,uraikegiatan,kodesubkegiatan,uraisubkegiatan,kodeskpd,uraiskpd,kodesubkegiatan_indikator,uraisubkegiatan_indikator,satuan,kinerja,volume_awal,volume_0,volume_1,volume_2,volume_3,volume_4,volume_5,volume_6,volume_7,pagu_awal,pagu1,pagu2,pagu3,pagu4,pagu5,pagu6,pagu7
3403,KAB. GUNUNGKIDUL,20252029,1.02,URUSAN PEMERINTAHAN BIDANG KESEHATAN,1.02.02,PROGRAM PEMENUHAN UPAYA KESEHATAN PERORANGAN DAN UPAYA KESEHATAN MASYARAKAT,1.02.02.2.02,Penyediaan Layanan Kesehatan untuk UKM dan UKP Rujukan Tingkat Daerah Kabupaten/Kota,1.02.02.2.02.0032,Operasional Pelayanan Rumah Sakit ,1.02.0.00.0.00.01.0032,RSUD Saptosari,653569,Jumlah Dokumen Operasional Pelayanan Rumah Sakit,Dokumen,Tersedianya Operasional Pelayanan Rumah Sakit,81,81,81.01,81.02,81.03,81.04,81.05,,,,177582000.0,184666931.0,184666931.0,184666931.0,184666931.0,0.0,0.0
3403,KAB. GUNUNGKIDUL,20252029,1.02,URUSAN PEMERINTAHAN BIDANG KESEHATAN,1.02.02,PROGRAM PEMENUHAN UPAYA KESEHATAN PERORANGAN DAN UPAYA KESEHATAN MASYARAKAT,1.02.02.2.02,Penyediaan Layanan Kesehatan untuk UKM dan UKP Rujukan Tingkat Daerah Kabupaten/Kota,1.02.02.2.02.0034,Operasional Pelayanan Fasilitas Kesehatan Lainnya,1.02.0.00.0.00.01.0033,UPT Laboratorium Kesehatan,639485,Jumlah Dokumen Operasional Pelayanan Fasilitas Kesehatan Lainnya,Dokumen,Tersedianya Operasional Pelayanan Fasilitas Kesehatan Lainnya,11,5,30,30,30,30,30,,,,456580000.0,475345438.0,480641766.0,494361995.0,496439434.0,0.0,0.0
3403,KAB. GUNUNGKIDUL,20252029,1.03,URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG ,1.03.09,PROGRAM PENATAAN BANGUNAN DAN LINGKUNGANNYA,1.03.09.2.01,Penyelenggaraan Penataan Bangunan dan Lingkungannya di Daerah Kabupaten/Kota,1.03.09.2.01.0010,Penyusunan Rencana dan Teknis  Penataan Bangunan dan Lingkungan di Kawasan Strategis Daerah Kabupaten/Kota,2.10.1.03.0.00.01.0000,Dinas Pertanahan dan Tata Ruang (Kundha Niti Mandala Sarta Tata Sasana),496661,Jumlah Dokumen Rencana dan Teknis  Penataan Bangunan dan Lingkungan yang Disusun di Kawasan Strategis Daerah Kabupaten/Kota,Dokumen,Tersusunnya Rencana dan Teknis  Penataan Bangunan dan Lingkungan di Kawasan Strategis Daerah Kabupaten/Kota,1,1,1,2,2,2,2,,,,210000000.0,265000000.0,275000000.0,300000000.0,300000000.0,0.0,0.0
3403,KAB. GUNUNGKIDUL,20252029,1.03,URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG ,1.03.09,PROGRAM PENATAAN BANGUNAN DAN LINGKUNGANNYA,1.03.09.2.01,Penyelenggaraan Penataan Bangunan dan Lingkungannya di Daerah Kabupaten/Kota,1.03.09.2.01.0012,Pembinaan dan pengawasan penataan bangunan dan lingkungan,2.10.1.03.0.00.01.0000,Dinas Pertanahan dan Tata Ruang (Kundha Niti Mandala Sarta Tata Sasana),496675,Jumlah penyelenggara bangunan gedung yang mendapatkan pembinaan dan pengawasan penataan bangunan dan lingkungan,Orang,Terlaksananya Pembinaan dan pengawasan penataan dan lingkungan,0,0,0,1,1,1,1,,,,0.0,50000000.0,50000000.0,125000000.0,125000000.0,0.0,0.0
3403,KAB. GUNUNGKIDUL,20252029,1.03,URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG ,1.03.12,PROGRAM PENYELENGGARAAN PENATAAN RUANG,1.03.12.2.01,Penetapan Rencana Tata Ruang Wilayah (RTRW) dan Rencana Rinci Tata Ruang (RRTR) Kabupaten/Kota,1.03.12.2.01.0006,Pelaksanaan Persetujuan Substansi RDTR Kabupaten/Kota,2.10.1.03.0.00.01.0000,Dinas Pertanahan dan Tata Ruang (Kundha Niti Mandala Sarta Tata Sasana),447121,Jumlah dokumen administrasi persetujuan substansi RDTR Kabupaten/Kota,Dokumen,Terpenuhinya dokumen administrasi dan penyempurnaan dokumen hasil evaluasi dan masukan pada forum lintas sektor dalam rangka penerbitan persetujuan substansi,1,,1,0,0,0,0,,,,76750000.0,0.0,0.0,0.0,0.0,0.0,0.0
3403,KAB. GUNUNGKIDUL,20252029,1.03,URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG ,1.03.12,PROGRAM PENYELENGGARAAN PENATAAN RUANG,1.03.12.2.01,Penetapan Rencana Tata Ruang Wilayah (RTRW) dan Rencana Rinci Tata Ruang (RRTR) Kabupaten/Kota,1.03.12.2.01.0007,Penyebarluasan Informasi Penataan Ruang,2.10.1.03.0.00.01.0000,Dinas Pertanahan dan Tata Ruang (Kundha Niti Mandala Sarta Tata Sasana),447121,Jumlah publikasi informasi penataan ruang,Publikasi,Tersampaikannya informasi penataan ruang kepada masyarakat,0,,2,2,2,2,2,,,,43660000.0,50000000.0,50000000.0,50000000.0,50000000.0,0.0,0.0
3403,KAB. GUNUNGKIDUL,20252029,1.03,URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG ,1.03.12,PROGRAM PENYELENGGARAAN PENATAAN RUANG,1.03.12.2.01,Penetapan Rencana Tata Ruang Wilayah (RTRW) dan Rencana Rinci Tata Ruang (RRTR) Kabupaten/Kota,1.03.12.2.01.0009,Pelaksanaan Evaluasi dan Konsultasi Evaluasi RTRW Kabupaten/Kota,2.10.1.03.0.00.01.0000,Dinas Pertanahan dan Tata Ruang (Kundha Niti Mandala Sarta Tata Sasana),447121,dokumen persyaratan untuk mendapatkan keputusan Gubernur hasil evaluasi,Dokumen,Terpenuhinya dokumen persyaratan untuk mendapatkan keputusan Gubernur hasil evaluasi,0,0,0,0,0,0,1,0.0,0.0,,0.0,0.0,0.0,0.0,300000000.0,0.0,0.0
3403,KAB. GUNUNGKIDUL,20252029,1.03,URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG ,1.03.12,PROGRAM PENYELENGGARAAN PENATAAN RUANG,1.03.12.2.01,Penetapan Rencana Tata Ruang Wilayah (RTRW) dan Rencana Rinci Tata Ruang (RRTR) Kabupaten/Kota,1.03.12.2.01.0010,Penetapan RDTR Kabupaten/Kota,2.10.1.03.0.00.01.0000,Dinas Pertanahan dan Tata Ruang (Kundha Niti Mandala Sarta Tata Sasana),497599,Jumlah Perkada RDTR Kabupaten/Kota,Dokumen,Tersedianya Perkada RDTR Kabupaten/Kota,1,0,0,1,0,0,0,,,,0.0,85000000.0,0.0,0.0,0.0,0.0,0.0
3403,KAB. GUNUNGKIDUL,20252029,1.03,URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG ,1.03.12,PROGRAM PENYELENGGARAAN PENATAAN RUANG,1.03.12.2.02,Koordinasi dan Sinkronisasi Perencanaan Tata Ruang Daerah Kabupaten/Kota,1.03.12.2.02.0008,Peningkatan Peran Masyarakat dalam Penataan Ruang,2.10.1.03.0.00.01.0000,Dinas Pertanahan dan Tata Ruang (Kundha Niti Mandala Sarta Tata Sasana),447150,Jumlah Kegiatan Peningkatan pemahaman dan tanggung jawab Masyarakat,Kegiatan,Terlaksananya Peningkatan pemahaman dan tanggung jawabMasyarakat,2,2,9,10,10,10,10,,,,97057000.0,90000000.0,100000000.0,100000000.0,90000000.0,0.0,0.0
3403,KAB. GUNUNGKIDUL,20252029,1.03,URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG ,1.03.12,PROGRAM PENYELENGGARAAN PENATAAN RUANG,1.03.12.2.03,Koordinasi dan Sinkronisasi Pemanfaatan Ruang Daerah Kabupaten/Kota,1.03.12.2.03.0004,Pelaksanaan Persetujuan Kesesuaian Kegiatan Pemanfaatan Ruang,2.10.1.03.0.00.01.0000,Dinas Pertanahan dan Tata Ruang (Kundha Niti Mandala Sarta Tata Sasana),603741,Jumlah layanan Persetujuan KKPR sesuai dengan ketentuan waktu yang berlaku,Layanan,Terlayaninya permohonan dokumen Persetujuan KKPR sesuai dengan ketentuan waktu yang berlaku yaitu  20 hari,0,0,400,450,500,550,600,,,,77625000.0,85000000.0,90000000.0,110000000.0,100000000.0,0.0,0.0
3403,KAB. GUNUNGKIDUL,20252029,1.03,URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG ,1.03.12,PROGRAM PENYELENGGARAAN PENATAAN RUANG,1.03.12.2.03,Koordinasi dan Sinkronisasi Pemanfaatan Ruang Daerah Kabupaten/Kota,1.03.12.2.03.0005,Pelaksanaan Sinkronisasi Program Pemanfaatan Ruang,2.10.1.03.0.00.01.0000,Dinas Pertanahan dan Tata Ruang (Kundha Niti Mandala Sarta Tata Sasana),603741,Jumlah dokumen sinkronisasi program pemanfaatan ruang,Dokumen,Tersedianya dokumen Sinkronisasi Program Pemanfaatan Ruang,0,0,0,0,1,0,1,,,,0.0,0.0,50000000.0,0.0,60000000.0,0.0,0.0
3403,KAB. GUNUNGKIDUL,20252029,1.03,URUSAN PEMERINTAHAN BIDANG PEKERJAAN UMUM DAN PENATAAN RUANG ,1.03.12,PROGRAM PENYELENGGARAAN PENATAAN RUANG,1.03.12.2.03,Koordinasi dan Sinkronisasi Pemanfaatan Ruang Daerah Kabupaten/Kota,1.03.12.2.03.0007,Sistem informasi dan komunikasi penataan ruang,2.10.1.03.0.00.01.0000,Dinas Pertanahan dan Tata Ruang (Kundha Niti Mandala Sarta Tata Sasana),603741,Jumlah sistem informasi dan komunikasi penataan ruang,Sistem Informasi,Tersedia dan terlaksananya pengembangan sistem informasi dan komunikasi penataan ruang,1,1,2,2,2,2,2,,,,79650000.0,85000000.0,100000000.0,105000000.0,85000000.0,0.0,0.0
